1 1 5 17 16 2179 123 0 M1 6 0 6 A41 A44 1
2 2 5 17 16 2179 123 0 M2 6 0 6 A41 A44 1
3 3 5 17 16 2179 123 0 M3 6 0 6 A41 A44 1
4 4 5 17 16 2179 123 0 M4 6 0 6 A41 A42 1
5 5 5 17 16 2179 123 0 M5 6 0 6 A41 A42 1
6 6 5 17 16 2179 123 0 M6 6 0 6 A41 A42 1
7 7 5 17 16 2179 123 0 M7 6 0 6 A41 A42 1
8 8 5 17 16 2179 123 0 M8 6 0 6 A41 A42 1
9 9 5 17 16 2179 123 0 M9 6 0 6 A41 A42 1
10 10 5 17 16 2179 123 0 M10 6 0 6 A41 A42 1
11 11 5 17 16 2179 123 0 M11 6 0 6 A41 A42 1
12 12 5 17 16 2179 123 0 M12 6 0 6 A41 A42 1
13 13 5 17 16 2179 123 0 M13 6 0 6 A42 A44 1
14 14 5 17 16 2179 123 0 M14 6 0 6 A42 A43 1
15 15 5 17 16 2179 123 0 M15 6 0 6 A42 A44 1
16 16 5 17 16 2179 123 0 M16 6 0 6 A42 A41 1
17 17 5 17 16 2179 123 0 M17 6 0 6 A42 A41 1
18 18 5 17 16 2179 123 0 M18 6 0 6 A42 A41 1
19 19 5 17 16 2179 123 0 M19 6 0 6 A42 A41 1
20 20 5 17 16 2179 123 0 M20 6 0 6 A42 A41 1
21 1 5 17 16 2179 123 0 M1 6 0 6 A41 A44 1
22 1 5 17 16 2179 123 0 M1 6 0 6 A99 A98 7
